,IoU,Dice,training_time,inference_time_500,inference_time_1
U-Net_baseline,0.5521714687347412,0.6672240495681763,517.5756553379997,1.851262688998759,0.8951393229999667
U-Net_baseline_with_data_augmentation_1,0.5645579695701599,0.6805711388587952,1029.694759095999,2.3697222720002173,0.4237615940000978
U-Net_baseline_with_data_augmentation_2,0.5593652725219727,0.6746030449867249,714.2974878509995,2.345822262001093,0.9245201520006958
U-Net_baseline_with_data_augmentation_3,0.11784428358078,0.1973462551832199,284.6854574879999,2.193977635999545,0.4140827859991987
U-Net_baseline_with_data_augmentation_2_diceLoss,0.6316813230514526,0.7439587116241455,843.5821554279973,2.138716723999096,0.903396439000062
U-Net_baseline_with_data_augmentation_2_diceLossWeighted,0.612227737903595,0.7280710339546204,697.2178472439991,2.189904247999948,0.4154330840028706
U-Net_baseline_with_data_augmentation_2_focalLoss_0.25_0.5,0.4867108762264251,0.6124054789543152,326.4240689810031,2.646039118997578,0.4256589219949092
U-Net_baseline_with_data_augmentation_2_focalLoss_0.25_1.0,0.4541413784027099,0.5857031941413879,318.81073109799763,2.206588510001893,0.4185225179971894
U-Net_baseline_with_data_augmentation_2_cceDiceLoss_50_50,0.6227889657020569,0.7384991645812988,899.1245806840016,2.2164382279952406,0.4159257040009834
U-Net_baseline_with_data_augmentation_2_cceDiceLoss_0.5_1.0,0.6284071803092957,0.7428610920906067,995.2074254730032,2.2606047090012,0.444320079004683
U-Net-resetnet152_with_data_augmentation_2_diceLoss,0.7220845222473145,0.8221077919006348,3538.612212427004,6.3125158620023285,3.4146919880004134
U-Net-vgg19_with_data_augmentation_2_diceLoss,0.7346441149711609,0.8329382538795471,1932.2829028520064,3.1016547920007724,0.0484372089995304
U-Net-resnext101_with_data_augmentation_2_diceLoss,0.7206106781959534,0.8209144473075867,3738.743412889002,5.3804073670035,0.1300632800121093
FPN-resnet152_with_data_augmentation_2_diceLoss,0.7387145161628723,0.8348180055618286,4316.767552061,5.874191106999206,0.06900022599984368
FPN-efficientnetb7_with_data_augmentation_2_diceLoss,0.7684539556503296,0.8580042719841003,5930.868126270001,7.299467510998511,0.08236714000304346
FPN-vgg19_with_data_augmentation_2_diceLoss,0.7444567680358887,0.8396879434585571,2601.7942584539996,5.406629867000447,0.7217386779993831
